参数名,标准化参数名,参数英文名,类型,参数类型,接口名,接口类型,数据样例,出现频次,涉及接口数,取值范围,取值说明
公司简称,公司简称,,object,输出参数,stock_info_sh_delist; stock_irm_cninfo; stock_irm_ans_cninfo; stock_sns_sseinfo,股票数据,邯郸钢铁,4,4,,
净利润-同比增长,净利润同比增长,,float64,输出参数,stock_yjbb_em; stock_yjkb_em; stock_fhps_em; stock_fhps_detail_em,股票数据,,4,4,,
到期日,到期日,,object,输出参数,bond_cb_redeem_jsl; futures_contract_info_shfe; futures_contract_info_ine; amac_futures_info,债券数据; 期货数据; 中国基金数据,,4,4,,
占净值比例,占净值比例,,float64,输出参数,stock_fund_stock_holder; fund_portfolio_hold_em; fund_portfolio_bond_hold_em; fund_portfolio_industry_allocation_em,股票数据; 基金数据,3.85,4,4,,
占流通股比例,占流通股比例,,float64,输出参数,stock_circulate_stock_holder; stock_fund_stock_holder; stock_institute_hold; stock_institute_hold_detail,股票数据,21.570,4,4,,
发行价,发行价,,float64,输出参数,stock_xgsr_ths; stock_hk_security_profile_em; stock_dxsyl_em; stock_new_ipo_cninfo,股票数据,,4,4,,
发行对象,发行对象,,object,输出参数,bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_corporate_issue_cninfo; bond_cov_issue_cninfo,债券数据,,4,4,,
发行日期,发行日期,,object,输出参数,stock_qbzf_em; bond_info_cm; fund_overview_em; macro_china_bond_public,股票数据; 中国债券数据; 基金数据; 中国宏观数据,2024-03-27,4,4,,
变动人,变动人,,object,输出参数,stock_management_change_ths; stock_hold_management_detail_em; stock_hold_management_person_em; stock_inner_trade_xq,股票数据,张昕,4,4,,
变动比例,变动比例,,float64,输出参数,stock_share_hold_change_szse; stock_hold_management_detail_cninfo; stock_hold_management_detail_em; stock_hold_management_person_em,股票数据,,4,4,,
变动股数,变动股数,,float64,输出参数,stock_share_hold_change_bse; stock_hold_management_detail_em; stock_hold_management_person_em; stock_inner_trade_xq,股票数据,7.151,4,4,,
变化幅度,变化幅度,,float64,输出参数,index_qli_cx; index_ai_cx; index_bei_cx; index_neei_cx,指数数据,0.000000,4,4,,
增减,增减,,object,输出参数,stock_gdfx_free_top_10_em; stock_gdfx_top_10_em; futures_inventory_em; futures_stock_shfe_js,股票数据; 期货数据,不变,4,4,,
备案日期,备案日期,,object,输出参数,stock_ipo_tutor_em; amac_securities_info; amac_fund_sub_info; amac_futures_info,股票数据; 中国基金数据,2025-12-23,4,4,,
实际发行总量,实际发行总量,,float64,输出参数,bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_corporate_issue_cninfo; bond_cov_issue_cninfo,债券数据,,4,4,,
实际解禁数量,实际解禁数量,,float64,输出参数,stock_restricted_release_summary_em; stock_restricted_release_detail_em; stock_restricted_release_queue_em; stock_restricted_release_stockholder_em,股票数据,,4,4,,
当日收盘价,当日收盘价,,float64,输出参数,stock_hsgt_stock_statistics_em; stock_hsgt_individual_em; stock_hsgt_individual_detail_em; stock_value_em,股票数据,,4,4,,
当日涨跌幅,当日涨跌幅,,float64,输出参数,stock_hsgt_stock_statistics_em; stock_hsgt_individual_em; stock_hsgt_individual_detail_em; stock_value_em,股票数据,,4,4,,
当月-同比增长,当月同比增长,,float64,输出参数,macro_china_fdi; macro_china_new_financial_credit; macro_china_czsr; macro_china_ppi,中国宏观数据; 宏观数据,116.422424,4,4,,
托管人名称,托管人名称,,object,输出参数,amac_fund_info; amac_securities_info; amac_fund_sub_info; amac_futures_info,中国基金数据,上海浦东发展银行股份有限公司,4,4,,
持有个股,持有个股,,object,输出参数,stock_gdfx_free_holding_change_em; stock_gdfx_holding_change_em; stock_gdfx_free_holding_statistics_em; stock_gdfx_holding_statistics_em,股票数据,"603218|日月股份,600988|赤峰黄金,600298|安琪酵母,300232|洲明科...",4,4,,
持股日期,持股日期,,object,输出参数,stock_hsgt_stock_statistics_em; stock_hsgt_institution_statistics_em; stock_hsgt_individual_em; stock_hsgt_individual_detail_em,股票数据,2021-10-27,4,4,,
持股比例,持股比例,,float64,输出参数,stock_main_stock_holder; stock_institute_hold; stock_institute_hold_detail; stock_yzxdr_em,股票数据,,4,4,,
收盘指数,收盘指数,,float64,输出参数,index_hist_fund_sw; index_analysis_daily_sw; index_analysis_weekly_sw; index_analysis_monthly_sw,指数数据,369.78,4,4,,
昨收价,昨收价,,float64,输出参数,stock_us_spot_em; stock_us_pink_spot_em; stock_us_famous_spot_em; index_global_spot_em,股票数据; 指数数据,,4,4,,
更新时间,更新时间,,datetime64[ns],输出参数,stock_irm_cninfo; futures_fees_info; futures_contract_info_shfe; fund_etf_spot_em,股票数据; 期货数据; 基金数据,,4,4,,
最后交易日,最后交易日,,object,输出参数,bond_cb_redeem_jsl; futures_contract_info_dce; futures_contract_info_gfex; futures_contract_info_cffex,债券数据; 期货数据; 中国期货数据,,4,4,,
最小变动价位,最小变动价位,,float64,输出参数,futures_rule; futures_contract_info_dce; futures_contract_info_czce; futures_foreign_detail,期货数据,,4,4,,
期末持股-持股变动,期末持股持股变动,,float64,输出参数,stock_gdfx_free_holding_analyse_em; stock_gdfx_holding_analyse_em; stock_gdfx_free_holding_detail_em; stock_gdfx_holding_detail_em,股票数据,,4,4,,
期末持股-数量变化,期末持股数量变化,,float64,输出参数,stock_gdfx_free_holding_analyse_em; stock_gdfx_holding_analyse_em; stock_gdfx_free_holding_detail_em; stock_gdfx_holding_detail_em,股票数据,,4,4,,
期末持股-数量变化比例,期末持股数量变化比例,,float64,输出参数,stock_gdfx_free_holding_analyse_em; stock_gdfx_holding_analyse_em; stock_gdfx_free_holding_detail_em; stock_gdfx_holding_detail_em,股票数据,,4,4,,
期末持股-流通市值,期末持股流通市值,,float64,输出参数,stock_gdfx_free_holding_analyse_em; stock_gdfx_holding_analyse_em; stock_gdfx_free_holding_detail_em; stock_gdfx_holding_detail_em,股票数据,,4,4,,
每股净资产,每股净资产,,float64,输出参数,stock_yjbb_em; stock_yjkb_em; stock_fhps_em; stock_fhps_detail_em,股票数据,,4,4,,
每股收益,每股收益,,float64,输出参数,stock_yjbb_em; stock_yjkb_em; stock_fhps_em; stock_fhps_detail_em,股票数据,-0.0349,4,4,,
沪深300指数,沪深300指数,,float64,输出参数,stock_gpzy_profile_em; stock_restricted_release_summary_em; stock_ebs_lg; index_news_sentiment_scope,股票数据; 指数数据,2168.3580,4,4,,
涨停价,涨停价,,int64,输出参数,stock_zt_pool_previous_em; stock_zt_pool_strong_em; stock_zt_pool_sub_new_em; stock_zt_pool_zbgc_em,股票数据,,4,4,,
环比增长,环比增长,,float64,输出参数,macro_china_gdzctz; macro_china_whxd; macro_china_wbck; macro_china_consumer_goods_retail,中国宏观数据; 宏观数据,-7.84,4,4,,
私募基金管理人名称,私募基金管理人名称,,object,输出参数,amac_manager_info; amac_manager_classify_info; amac_fund_info; amac_fund_sub_info,中国基金数据,平安道远投资管理（上海）有限公司,4,4,,
管理人名称,管理人名称,,object,输出参数,amac_securities_info; amac_fund_account_info; amac_futures_info; amac_manager_cancelled_info,中国基金数据,,4,4,,
累计-同比增长,累计同比增长,,float64,输出参数,macro_china_fdi; macro_china_new_financial_credit; macro_china_czsr; macro_china_consumer_goods_retail,中国宏观数据; 宏观数据,109.78,4,4,,
计划发行总量,计划发行总量,,float64,输出参数,bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_corporate_issue_cninfo; bond_cov_issue_cninfo,债券数据,,4,4,,
质押笔数,质押笔数,,float64,输出参数,stock_gpzy_profile_em; stock_gpzy_pledge_ratio_em; stock_gpzy_distribute_statistics_company_em; stock_gpzy_distribute_statistics_bank_em,股票数据,,4,4,,
转股价,转股价,,float64,输出参数,bond_zh_cov; bond_cov_comparison; bond_cb_jsl; bond_cb_redeem_jsl,债券数据,,4,4,,
适用日期,适用日期,,object,输出参数,stock_sgt_settlement_exchange_rate_szse; stock_sgt_settlement_exchange_rate_sse; stock_sgt_reference_exchange_rate_szse; stock_sgt_reference_exchange_rate_sse,股票数据-汇率数据; 股票数据,2016-12-05,4,4,,
静态市盈率,静态市盈率,,float64,输出参数,stock_index_pe_lg; sw_index_first_info; sw_index_second_info; sw_index_third_info,股票数据; 指数数据,20.69,4,4,,
领涨股,领涨股,,object,输出参数,stock_hsgt_hist_em; stock_fund_flow_concept; stock_fund_flow_industry; stock_board_industry_summary_ths,股票数据,,4,4,,
领涨股-涨跌幅,领涨股涨跌幅,,float64,输出参数,stock_hsgt_hist_em; stock_fund_flow_concept; stock_fund_flow_industry; stock_board_industry_summary_ths,股票数据,,4,4,,
3年期评级-3年评级,3年期评级3年评级,,int64,输出参数,fund_rating_sh; fund_rating_zs; fund_rating_ja,基金数据,,3,3,,
3年期评级-较上期,3年期评级较上期,,float64,输出参数,fund_rating_sh; fund_rating_zs; fund_rating_ja,基金数据,,3,3,,
DATE_TYPE_CODE,DATE_TYPE_CODE,DATE_TYPE_CODE,object,输出参数,stock_financial_hk_report_em; stock_financial_hk_analysis_indicator_em; stock_financial_us_analysis_indicator_em,股票数据,,3,3,,
ORG_CODE,ORG_CODE,ORG_CODE,object,输出参数,stock_financial_hk_report_em; stock_financial_hk_analysis_indicator_em; stock_financial_us_analysis_indicator_em,股票数据,,3,3,,
REPORT_TYPE,REPORT_TYPE,REPORT_TYPE,object,输出参数,stock_financial_us_report_em; stock_financial_analysis_indicator_em; stock_financial_us_analysis_indicator_em,股票数据,,3,3,,
TTM(滚动)市盈率,TTM滚动市盈率,TTM,float64,输出参数,sw_index_first_info; sw_index_second_info; sw_index_third_info,指数数据,48.28,3,3,,
hold,hold,hold,float64,输出参数,futures_zh_spot; futures_zh_minute_sina; futures_zh_daily_sina,期货数据,,3,3,,
outstanding_share,outstanding_share,outstanding_share,float64,输出参数,stock_zh_a_daily; stock_zh_b_daily; stock_zh_kcb_daily,股票数据,,3,3,,
ticktime,ticktime,ticktime,object,输出参数,stock_intraday_sina; stock_sector_detail; futures_zh_realtime,股票数据; 期货数据,09:25:00,3,3,,
variety,variety,variety,object,输出参数,futures_dce_position_rank; futures_gfex_position_rank; get_futures_daily,期货数据,,3,3,,
上榜原因,上榜原因,,object,输出参数,stock_lhb_detail_em; stock_lhb_jgmmtj_em; stock_lhb_yyb_detail_em,股票数据,,3,3,,
上涨家数,上涨家数,,int64,输出参数,stock_board_concept_name_em; stock_board_industry_summary_ths; stock_board_industry_name_em,股票数据,26,3,3,,
下跌家数,下跌家数,,int64,输出参数,stock_board_concept_name_em; stock_board_industry_summary_ths; stock_board_industry_name_em,股票数据,3,3,3,,
中签率,中签率,,float64,输出参数,stock_xgsglb_em; bond_zh_cov; bond_zh_cov_info_ths,股票数据; 债券数据,,3,3,,
交割量,交割量,,float64,输出参数,futures_to_spot_shfe; futures_delivery_dce; futures_delivery_match_czce,期货数据,7950.0,3,3,,
交易均价,交易均价,,object,输出参数,stock_management_change_ths; stock_shareholder_change_ths; stock_rank_xzjp_ths,股票数据,20.00,3,3,,
价格,价格,,float64,输出参数,sw_index_third_cons; index_min_sw; macro_china_bond_public,指数数据; 中国宏观数据,,3,3,,
会员类型,会员类型,,object,输出参数,amac_member_info; amac_manager_classify_info; amac_member_sub_info,中国基金数据,联席会员,3,3,,
债券类型,债券类型,,object,输出参数,bond_info_cm; bond_deal_summary_sse; macro_china_bond_public,中国债券数据; 债券数据; 中国宏观数据,短期融资券,3,3,,
关注,关注,,float64,输出参数,stock_hot_follow_xq; stock_hot_tweet_xq; stock_hot_deal_xq,股票数据,2763065.0,3,3,,
净资产收益率,净资产收益率,,float64,输出参数,stock_yjbb_em; stock_yjkb_em; stock_financial_analysis_indicator,股票数据,,3,3,,
到期时间,到期时间,,object,输出参数,bond_zh_cov_info_ths; bond_cb_jsl; amac_securities_info,债券数据; 中国基金数据,2030-08-16,3,3,,
占总股本比例,占总股本比例,,float64,输出参数,stock_gpzy_pledge_ratio_detail_em; stock_cg_equity_mortgage_cninfo; stock_report_fund_hold_detail,股票数据,,3,3,,
发布时间,发布时间,,object,输出参数,stock_news_em; futures_news_shmet; macro_china_gyzjz,股票数据; 期货数据; 中国宏观数据,,3,3,,
发行终止日,发行终止日,,object,输出参数,bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_cov_issue_cninfo,债券数据,,3,3,,
发行费用总额,发行费用总额,,float64,输出参数,stock_allotment_cninfo; stock_ipo_summary_cninfo; stock_add_stock,股票数据,,3,3,,
发行起始日,发行起始日,,object,输出参数,bond_treasure_issue_cninfo; bond_local_government_issue_cninfo; bond_cov_issue_cninfo,债券数据,,3,3,,
变动人与董监高的关系,变动人与董监高的关系,,object,输出参数,stock_share_hold_change_szse; stock_hold_management_detail_em; stock_hold_management_person_em,股票数据,本人,3,3,,
变动数量,变动数量,,object,输出参数,stock_management_change_ths; stock_shareholder_change_ths; stock_hold_management_detail_cninfo,股票数据,,3,3,,
变更日期,变更日期,,object,输出参数,stock_industry_change_cninfo; stock_info_sz_change_name; stock_zh_a_gbjg_em,股票数据,2011-06-08,3,3,,
名次,名次,,int64,输出参数,stock_gdfx_free_top_10_em; stock_gdfx_top_10_em; futures_hold_pos_sina,股票数据; 期货数据,1,3,3,,
周期,周期,,object,输出参数,stock_zh_vote_baidu; fund_individual_achievement_xq; fund_individual_analysis_xq,股票数据; 基金数据,今日,3,3,,
品种代码,品种代码,,object,输出参数,index_stock_cons; futures_fees_info; futures_warehouse_receipt_dce,指数数据; 期货数据,601916,3,3,,
品种名称,品种名称,,object,输出参数,index_stock_cons; futures_fees_info; futures_warehouse_receipt_dce,指数数据; 期货数据,浙商银行,3,3,,
商誉,商誉,,float64,输出参数,stock_sy_profile_em; stock_sy_jz_em; stock_sy_em,股票数据,9.305439e+10,3,3,,
场内份额,场内份额,,int64,输出参数,qdii_e_index_jsl; qdii_e_comm_jsl; qdii_a_index_jsl,QDII数据,,3,3,,
场内新增,场内新增,,int64,输出参数,qdii_e_index_jsl; qdii_e_comm_jsl; qdii_a_index_jsl,QDII数据,,3,3,,
基金覆盖家数,基金覆盖家数,,int64,输出参数,fund_report_stock_cninfo; fund_report_industry_allocation_cninfo; fund_report_asset_allocation_cninfo,基金数据,3722,3,3,,
增长值,增长值,,float64,输出参数,fund_etf_category_ths; fund_etf_spot_ths; fund_etf_fund_daily_em,基金数据,,3,3,,
增长率,增长率,,float64,输出参数,fund_etf_category_ths; fund_etf_spot_ths; fund_etf_fund_daily_em,基金数据,,3,3,,
姓名,姓名,,object,输出参数,stock_share_hold_change_sse; stock_share_hold_change_bse; fund_manager_em,股票数据; 基金数据,谢伟,3,3,,
已流通股份,已流通股份,,float64,输出参数,stock_share_change_cninfo; stock_hold_change_cninfo; stock_zh_a_gbjg_em,股票数据,,3,3,,
市值,市值,,object,输出参数,stock_ipo_benefit_ths; sw_index_third_cons; fund_portfolio_industry_allocation_em,股票数据; 指数数据; 基金数据,1993.28亿,3,3,,
平均流通市值,平均流通市值,,float64,输出参数,index_analysis_daily_sw; index_analysis_weekly_sw; index_analysis_monthly_sw,指数数据,1605.43,3,3,,
强赎触发价,强赎触发价,,object,输出参数,bond_cov_comparison; bond_cb_jsl; bond_cb_redeem_jsl,债券数据,,3,3,,
当前排名,当前排名,,int64,输出参数,stock_hot_rank_em; stock_hot_up_em; stock_hk_hot_rank_em,股票数据,1,3,3,,
当月-环比增长,当月环比增长,,float64,输出参数,macro_china_fdi; macro_china_new_financial_credit; macro_china_czsr,中国宏观数据,-14.460445,3,3,,
总募集规模,总募集规模,,float64,输出参数,fund_scale_open_sina; fund_scale_close_sina; fund_scale_structured_sina,基金数据,,3,3,,
总发行数量,总发行数量,,int64,输出参数,stock_dxsyl_em; stock_ipo_summary_cninfo; stock_new_ipo_cninfo,股票数据,1427.1000,3,3,,
总成交额,总成交额,,int64,输出参数,stock_sector_spot; stock_dzjy_hygtj; stock_board_industry_summary_ths,股票数据,,3,3,,
成交,成交,,float64,输出参数,qdii_e_index_jsl; qdii_e_comm_jsl; qdii_a_index_jsl,QDII数据,,3,3,,
成交金额,成交金额,,float64,输出参数,stock_szse_summary; stock_zh_index_hist_csindex; macro_china_au_report,股票数据; 指数数据; 宏观数据,4.647749e+11,3,3,,
